Neighborhood,Adress,Apartment,House,Price,Rooms,Baths,Sq Ft,Sq Ft Lot,Year Built,View,Fire Place,Levels,Attached Garage,Total Parking Space,Pool
Angelino-Heights,206 N Arizona Ave,0,1,400000.0,2.0,1.0,960.0,5663.0,1924.0,0,0,1,0,0.0,0
Angelino-Heights,4316 E 5th St,0,1,310000.0,1.0,1.0,624.0,2178.0,1937.0,0,0,1,0,1.0,0
Angelino-Heights,2014 W 43rd St,0,1,755000.0,3.0,3.0,1288.0,5227.0,1913.0,1,0,1,0,1.0,0
Angelino-Heights,841 Belvidere St,0,1,1065000.0,4.0,2.0,1788.0,6534.0,1900.0,0,1,2,0,2.0,0
Angelino-Heights,5912 S Corning Ave,0,1,1400000.0,3.0,4.0,2552.0,8276.0,1957.0,0,1,1,1,2.0,0
Angelino-Heights,54 W Claremont St,0,1,712000.0,3.0,2.0,1152.0,6970.0,1973.0,0,0,1,1,2.0,0
Angelino-Heights,133 S Los Robles Ave Unit 204,1,0,913000.0,2.0,2.0,1050.0,1050.0,2013.0,1,0,1,0,2.0,0
Angelino-Heights,537 E Maple St Unit 2,1,0,460000.0,1.0,1.0,648.0,648.0,1945.0,1,0,1,0,1.0,0
Angelino-Heights,727 S Ardmore Ave Unit 802,1,0,635000.0,2.0,2.0,1525.0,1525.0,1982.0,1,0,1,1,2.0,0
Angelino-Heights,1109 W 51st Pl,0,1,625000.0,3.0,1.0,1176.0,4792.0,1911.0,0,1,1,0,2.0,0
Angelino-Heights,6816 Park Dr,0,1,610000.0,2.0,1.0,672.0,3049.0,1925.0,0,0,1,0,1.0,0
Angelino-Heights,7230 Brynhurst Ave,0,1,999000.0,4.0,3.0,1750.0,7405.0,1951.0,0,1,1,0,2.0,0
Angelino-Heights,10824 Bloomfield St Unit 202,1,0,690000.0,2.0,2.0,1249.0,1249.0,1993.0,1,1,3,0,2.0,0
Angelino-Heights,647 E 37th St,0,1,540000.0,2.0,1.0,1013.0,4792.0,1911.0,0,0,1,0,0.0,0
Angelino-Heights,200 La Vereda Rd,0,1,4000000.0,5.0,5.0,4481.0,12632.4,1927.0,1,1,2,0,2.0,0
Angelino-Heights,5324 8th Ave,0,1,660000.0,3.0,2.0,1750.0,5663.0,1922.0,0,1,1,0,1.0,0
Angelino-Heights,10804 Sarah St,0,1,710000.0,3.0,1.0,1144.0,4792.0,1946.0,0,1,1,0,2.0,0
Angelino-Heights,253 S Avenue 22,0,1,505000.0,2.0,1.0,704.0,1742.0,1918.0,0,0,1,0,0.0,0
Angelino-Heights,500 Jackson Pl Unit 211,1,0,589000.0,2.0,2.0,1010.0,1010.0,1973.0,1,0,1,0,2.0,0
Angelino-Heights,5224 Denny Ave Unit 109,1,0,570000.0,2.0,1.0,830.0,830.0,1985.0,0,0,1,0,2.0,0
